DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-01-16,6.1,7.9960814,2.728163,6.1559634,9.836199,3.5086527,12.48351
1950-01-17,2.2,7.281296,2.8635798,5.3498406,9.212751,2.5711265,11.991465
1950-01-18,1.1,6.522452,2.7975829,4.635511,8.409393,1.9208379,11.124065
1950-01-19,3.9,4.126382,2.9394286,2.1437674,6.1089964,-0.7085476,8.961311
1950-01-20,4.4,3.1971374,3.2614846,0.99729943,5.3969755,-2.1675272,8.561802
1950-01-21,4.4,4.8521276,3.1374714,2.7359352,6.96832,-0.3085537,10.012809
1950-01-22,-0.6,4.9441886,3.0637045,2.8777514,7.010626,-0.09515667,9.983534
1950-01-24,1.1,4.549914,2.9767137,2.542151,6.557677,-0.34634447,9.446173
1950-01-25,4.4,2.5847735,3.17846,0.4409349,4.728612,-2.6433277,7.812875
1950-01-26,1.7,3.4905355,3.1692474,1.3529108,5.6281605,-1.7224123,8.703484
1950-01-27,1.7,4.831393,3.0914307,2.7462544,6.916531,-0.25355816,9.916344
1950-01-28,5.0,3.4302256,3.082372,1.3511975,5.5092535,-1.6398251,8.500277
1950-01-29,3.9,3.639507,3.072911,1.5668602,5.712154,-1.4149816,8.693995
1950-01-30,10.0,5.250871,3.0669162,3.1822677,7.3194747,0.20624304,10.2955
1950-01-31,10.6,4.1891813,2.9745266,2.1828938,6.195469,-0.7034793,9.081842
1950-02-01,11.7,8.360805,2.8047788,6.46901,10.252599,3.747354,12.974255
1950-02-02,9.4,8.382578,2.7853007,6.503921,10.261234,3.801166,12.963989
1950-02-03,7.8,8.874407,2.7906382,6.99215,10.756663,4.2842155,13.464598
1950-02-04,6.7,7.6644607,2.7971225,5.77783,9.551091,3.0636039,12.265318
1950-02-05,8.9,6.766451,2.7744422,4.895118,8.637784,2.2028995,11.330002
1950-02-06,4.4,6.3658085,2.7505958,4.51056,8.221057,1.8414812,10.890136
1950-02-07,11.7,7.9387865,2.8737311,6.0004845,9.877089,3.2119193,12.665653
1950-02-08,11.7,5.571278,3.0455115,3.5171118,7.6254444,0.5618577,10.580698
1950-02-09,7.2,9.348438,3.0043507,7.322035,11.374842,4.406721,14.290155
1950-02-10,8.9,9.397123,2.9678514,7.395338,11.398909,4.5154424,14.278805
1950-02-11,6.7,6.8606024,2.6832774,5.0507593,8.670445,2.4470038,11.2742
1950-02-12,10.6,7.364652,2.5791361,5.6250515,9.104253,3.1223507,11.606954
1950-02-13,11.7,6.823876,2.631722,5.048806,8.598946,2.4950786,11.152674
1950-02-14,12.2,8.938298,2.7186434,7.104601,10.771996,4.466528,13.4100685
1950-02-15,15.6,9.723893,2.7717214,7.8543954,11.59339,5.1648173,14.2829685
1950-02-16,14.4,10.499866,2.907196,8.538992,12.460739,5.7179537,15.281777
