DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-01-16,6.1,10.507369,2.966071,8.506784,12.507954,5.628617,15.386122
1950-01-17,1.7,7.2950215,2.798973,5.4071426,9.1829,2.6911206,11.898922
1950-01-19,4.4,6.8528466,2.7970939,4.9662356,8.739458,2.2520366,11.453657
1950-01-20,5.0,4.23769,3.1784618,2.0938501,6.38153,-0.99041414,9.465794
1950-01-21,4.4,4.799154,2.9940512,2.779697,6.8186107,-0.12562227,9.72393
1950-01-22,2.2,4.7421265,2.9874082,2.7271504,6.7571025,-0.17172241,9.655975
1950-01-25,4.4,4.9786754,2.9575906,2.983811,6.97354,0.11387205,9.843479
1950-01-26,2.2,3.4016848,3.0138216,1.3688929,5.434477,-1.5556107,8.35898
1950-01-27,2.2,4.379176,3.2082632,2.2152355,6.5431166,-0.89794683,9.6563
1950-01-28,8.3,4.00591,3.2924259,1.7852025,6.2266173,-1.4096484,9.421469
1950-01-29,7.2,4.0249233,3.0737662,1.9516995,6.0981474,-1.030972,9.080818
1950-01-30,8.3,7.43299,3.1501052,5.308276,9.557704,2.2515283,12.614452
1950-01-31,9.4,6.4384813,2.9902878,4.421563,8.4553995,1.5198956,11.357067
1950-02-01,10.6,7.819476,2.46055,6.1598606,9.479092,3.7722316,11.86672
1950-02-02,10.0,7.9220295,2.3756597,6.3196716,9.524387,4.014417,11.829641
1950-02-03,7.8,9.00124,2.4048831,7.379171,10.623309,5.045559,12.956921
1950-02-04,6.7,9.138498,2.7665684,7.272476,11.00452,4.5878983,13.689098
1950-02-05,8.9,8.924421,2.7302985,7.082863,10.76598,4.43348,13.415363
1950-02-06,6.1,8.656826,2.8040905,6.765496,10.548157,4.0445075,13.269144
1950-02-07,11.1,10.151486,2.9473476,8.16353,12.139442,5.303531,14.999441
1950-02-08,11.7,8.016058,2.8628411,6.085101,9.947015,3.3071036,12.725012
1950-02-09,8.3,10.558081,2.9925663,8.539625,12.576536,5.635747,15.480414
1950-02-10,8.3,10.222507,2.8944557,8.2702265,12.174788,5.4615517,14.983463
1950-02-11,7.2,8.490597,2.5755277,6.75343,10.227764,4.254231,12.726963
1950-02-12,10.6,8.641589,2.5771627,6.9033194,10.379859,4.402534,12.880644
1950-02-13,12.8,7.803681,2.495923,6.1202064,9.487155,3.6982527,11.909109
1950-02-14,11.1,9.747396,2.562964,8.018703,11.4760895,5.531696,13.963097
1950-02-15,16.7,11.24511,2.8038795,9.353922,13.136297,6.633138,15.85708
1950-02-16,15.6,10.730713,2.9131796,8.765803,12.695622,5.938959,15.522467
1950-02-17,15.6,12.533939,3.042881,10.481547,14.586331,7.528846,17.539032
1950-02-18,10.6,12.70557,3.1167214,10.603374,14.807767,7.57902,17.83212
1950-02-19,9.4,12.980451,3.1476634,10.857384,15.103518,7.803005,18.157896
1950-02-20,8.9,10.574083,2.6248105,8.803676,12.344491,6.2566543,14.891512
1950-02-21,10.6,9.759738,2.5592775,8.033531,11.485945,5.5501013,13.969375
1950-02-22,12.2,8.510161,2.5348003,6.8004646,10.219858,4.340786,12.679537
